"calls","days_active","isgroup2","age"
2,32,0,27
4,81,0,32
0,41,0,22
1,36,0,28
0,55,0,31
0,25,0,33
1,72,0,34
0,31,0,32
0,51,0,23
0,47,0,25
1,74,0,29
0,42,0,27
0,36,0,40
0,38,0,27
2,84,0,26
1,71,0,27
3,89,0,28
0,27,0,27
0,65,0,23
0,67,0,28
1,21,0,36
1,79,0,30
3,68,0,30
1,25,0,27
2,80,0,28
0,74,0,28
0,27,0,29
1,84,0,35
0,50,0,27
3,68,0,29
0,32,0,30
1,85,0,24
0,72,0,38
0,54,0,28
0,48,0,30
0,36,0,38
0,42,0,33
0,55,0,39
1,68,0,34
1,74,0,29
1,74,0,23
0,55,0,31
1,58,0,26
1,81,0,21
0,52,0,33
0,39,0,24
1,42,0,27
2,39,0,22
1,27,0,35
0,44,0,38
1,82,0,32
0,61,0,39
0,75,0,32
3,33,0,23
1,47,0,37
0,42,0,32
0,41,0,36
0,57,0,38
0,56,0,32
0,52,0,31
0,22,0,26
1,81,0,30
0,43,0,27
1,64,0,39
0,64,0,32
0,78,0,31
0,55,0,32
0,80,0,27
0,40,0,31
1,80,0,37
0,41,0,25
2,83,0,25
1,41,0,33
0,21,0,27
1,76,0,26
0,47,0,34
0,34,0,33
1,27,0,25
0,31,0,41
2,87,0,32
0,44,0,33
1,59,0,30
2,35,0,25
0,59,0,32
0,67,0,20
0,73,0,38
3,79,0,25
0,23,0,42
0,55,0,33
4,78,0,26
0,36,0,23
0,34,0,28
0,70,0,31
0,64,0,33
2,78,0,30
0,30,0,31
1,60,0,32
2,69,0,27
0,69,0,28
0,31,0,34
0,23,0,32
0,70,0,32
0,84,0,35
0,34,0,28
3,59,0,32
0,76,0,28
2,75,0,19
0,83,0,25
0,32,0,30
0,65,0,43
2,60,0,25
3,64,0,29
0,45,0,32
0,45,0,34
1,89,0,30
1,48,0,30
0,75,0,32
0,22,0,26
2,82,0,30
1,77,0,24
1,85,0,33
0,24,0,40
0,49,0,40
0,40,0,29
0,23,0,30
0,41,0,31
0,37,0,33
0,33,0,25
1,37,0,24
1,61,0,22
1,65,0,26
0,47,0,41
0,85,0,31
0,29,0,26
0,57,0,30
0,45,0,30
0,49,0,29
0,74,0,25
0,61,0,32
1,34,0,26
0,66,0,32
1,55,0,23
0,24,0,19
0,58,0,33
0,73,0,34
0,28,0,34
2,90,0,38
0,33,0,33
0,69,0,28
2,41,0,29
1,62,0,35
0,52,0,23
0,69,0,28
0,46,0,30
0,21,0,37
0,67,0,29
1,52,0,36
2,77,0,27
0,70,0,30
0,27,0,24
1,79,0,36
0,52,0,37
0,42,0,35
0,77,0,26
1,29,0,30
1,67,0,23
2,90,0,34
0,30,0,23
0,29,0,30
0,58,0,29
0,48,0,32
0,90,0,26
1,26,0,33
0,31,0,31
0,30,0,32
0,50,0,20
0,52,0,23
3,59,0,33
0,21,0,24
0,29,0,25
0,47,0,35
0,30,0,41
2,61,0,22
0,68,0,36
3,61,0,28
0,43,0,35
0,36,0,37
1,50,0,25
1,70,0,26
0,41,0,32
0,42,0,28
1,31,0,26
0,24,0,26
4,63,0,20
0,78,0,42
0,67,0,33
2,51,0,25
3,80,0,33
1,33,0,21
1,80,0,29
5,83,1,24
2,27,1,27
3,70,1,29
1,38,1,35
8,89,1,25
3,88,1,37
1,37,1,28
3,59,1,28
2,84,1,38
2,24,1,29
3,31,1,33
0,25,1,38
0,26,1,31
3,52,1,34
4,87,1,34
7,74,1,30
1,25,1,35
2,44,1,31
3,36,1,31
1,42,1,39
0,38,1,28
2,53,1,26
6,69,1,21
2,28,1,34
